Word	Pinyin	CON
耕	geng1	5.68
梗	geng3	4.33
工	gong1	4.46
弓	gong1	6.78
公	gong1	3.86
功	gong1	3.78
攻	gong1	4.38
供	gong1	4.63
宫	gong1	5.53
恭	gong1	3.41
躬	gong1	5.08
汞	gong3	5.97
拱	gong3	4.79
贡	gong4	3.83
勾	gou1	4.93
沟	gou1	6.61
钩	gou1	6.29
狗	gou3	6.83
构	gou4	3.89
购	gou4	5.36
够	gou4	3.7
估	gu1	3.97
咕	gu1	3.4
姑	gu1	6.03
孤	gu1	4.59
沽	gu1	3.5
菇	gu1	5.83
箍	gu1	5.15
古	gu3	3.85
谷	gu3	6.46
骨	gu3	6.76
鼓	gu3	5.18
固	gu4	4.64
顾	gu4	3.75
雇	gu4	5.05
瓜	gua1	6.67
刮	gua1	5.92
剐	gua3	4.74
寡	gua3	4.57
卦	gua4	4.65
挂	gua4	5.74
褂	gua4	6.42
乖	guai1	4.14
拐	guai3	5.1
怪	guai4	3.35
关	guan1	6.21
官	guan1	5.19
冠	guan1	5.97
棺	guan1	6.42
馆	guan3	5.84
管	guan3	4.15
惯	guan4	3.59
掼	guan4	3.06
灌	guan4	5.08
罐	guan4	6.47
光	guang1	6.31
广	guang3	4.26
逛	guang4	5.24
归	gui1	4.84
龟	gui1	6.68
轨	gui3	6.18
鬼	gui3	3.97
柜	gui4	6.43
贵	gui4	4.59
跪	gui4	6.49
滚	gun3	5.03
棍	gun4	6.58
锅	guo1	6.72
国	guo2	4.62
果	guo3	6.26
裹	guo3	5.78
孩	hai2	5.97
海	hai3	6.92
骇	hai4	2.93
害	hai4	4.3
酣	han1	3.15
憨	han1	4.73
含	han2	4.31
函	han2	4.27
寒	han2	5.23
喊	han3	5.97
汉	han4	4.43
汗	han4	6.53
旱	han4	5.05
焊	han4	5.87
憾	han4	3.38
航	hang2	4.7
豪	hao2	3.78
好	hao3	3.55
耗	hao4	4.19
喝	he1	5.98
禾	he2	6.31
合	he2	4.51
河	he2	6.68
核	he2	5.4
荷	he2	3.78
盒	he2	6.3
褐	he4	4.7
鹤	he4	6.67
壑	he4	5.76
黑	hei1	6.21
痕	hen2	4.98
狠	hen3	4.66
恨	hen4	4.33
横	heng2	4.86
轰	hong1	4.55
哄	hong1	4.97
红	hong2	5.76
宏	hong2	3.16
虹	hong2	6.22
侯	hou2	4.42
猴	hou2	6.73
吼	hou3	5.89
后	hou4	4.97
厚	hou4	5.57
呼	hu1	5.45
弧	hu2	4.9
壶	hu2	6.61
湖	hu2	6.81
糊	hu2	3.93
虎	hu3	6.95
唬	hu3	4.19
护	hu4	4.69
花	hua1	5.28
华	hua2	3
滑	hua2	5.55
划	hua4	5.63
画	hua4	6.13
话	hua4	5.4
怀	huai2	4.1
徊	huai2	3.86
槐	huai2	6.03
坏	huai4	4.43
欢	huan1	3.62
环	huan2	6.17
缓	huan3	4.05
幻	huan4	2.65
宦	huan4	4.57
唤	huan4	5.15
换	huan4	5.33
患	huan4	4.59
荒	huang1	4.11
慌	huang1	4.72
皇	huang2	4.2
黄	huang2	5.44
惶	huang2	3.81
晃	huang3	5.08
谎	huang3	4.6
灰	hui1	4.9
挥	hui1	5.56
辉	hui1	4.18
回	hui2	4.55
悔	hui3	4.33
汇	hui4	3.33
会	hui4	3.41
绘	hui4	5.8
贿	hui4	4.03
惠	hui4	3.74
毁	hui3	4.84
昏	hun1	4.68
荤	hun1	4.76
婚	hun1	5.2
浑	hun2	4.25
魂	hun2	4.03
混	hun4	4.05
豁	huo1	3.78
活	huo2	4.26
火	huo3	6.87
货	huo4	5.88
获	huo4	4.22
祸	huo4	4.35
惑	huo4	3.43
击	ji1	5.19
饥	ji1	5.3
肌	ji1	6.39
鸡	ji1	6.9
迹	ji4	4.88
姬	ji1	3.83
积	ji1	3.81
基	ji1	3.92
绩	ji1	3.78
稽	ji1	2.75
激	ji1	3.43
羁	ji1	3.18
吉	ji2	3.54
即	ji2	1.9
急	ji2	4.86
疾	ji2	4.7
集	ji2	4.03
嫉	ji2	4.1
辑	ji2	3.7
籍	ji2	3.7
挤	ji3	5.43
脊	ji3	6.08
计	ji4	4.3
记	ji4	5.05
纪	ji4	3.16
忌	ji4	3.82
技	ji4	4.05
济	ji4	2.8
寄	ji4	5.48
祭	ji4	4.73
加	jia1	4.86
夹	jia1	5.49
佳	jia1	3.42
家	jia1	5.56
嘉	jia1	3.38
颊	jia2	6.62
价	jia4	4.86
驾	jia4	4.64
架	jia4	5.84
假	jia4	4.38
嫁	jia4	5.05
奸	jian1	4.3
尖	jian1	5.58
坚	jian1	4.45
歼	jian1	4.51
间	jian1	4.27
肩	jian1	6.75
兼	jian1	3.05
监	jian1	4.74
煎	jian1	5.76
拣	jian3	5.94
俭	jian3	4.08
捡	jian3	6.08
减	jian3	4.84
剪	jian3	5.73
检	jian3	4.82
简	jian3	4
碱	jian3	6.05
见	jian4	5.89
建	jian4	4.61
剑	jian4	6.73
荐	jian4	4.33
贱	jian4	3.68
健	jian4	3.82
舰	jian4	6.5
溅	jian4	5.59
践	jian4	3.81
鉴	jian4	4.03
键	jian4	5.97
箭	jian4	6.86
江	jiang1	6.55
姜	jiang1	5.4
浆	jiang1	5.87
僵	jiang1	4.18
缰	jiang1	5.83
讲	jiang3	5.97
奖	jiang3	5.3
降	jiang4	5.03
酱	jiang4	6.06
交	jiao1	4
郊	jiao1	5.08
娇	jiao1	3.46
浇	jiao1	5.57
骄	jiao1	3.6
胶	jiao1	5.86
焦	jiao1	4.26
跤	jiao1	5.03
礁	jiao1	5.81
角	jiao3	5.7
狡	jiao3	3.76
绞	jiao3	4.69
脚	jiao3	6.64
搅	jiao3	5.45
缴	jiao3	4.7
叫	jiao4	5.74
轿	jiao4	5.43
教	jiao4	4.5
窖	jiao4	5.92
阶	jie1	4.67
接	jie1	4.32
秸	jie1	6.71
揭	jie1	5.08
街	jie1	6.79
节	jie2	4.15
劫	jie2	5.05
杰	jie2	3.55
洁	jie2	5
结	jie2	4.31
竭	jie2	3.44
姐	jie3	6.49
解	jie3	4.43
戒	jie4	4.21
借	jie4	5.46
巾	jin1	6.08
今	jin1	4.62
金	jin1	4.92
筋	jin1	6.03
紧	jin3	5.2
锦	jin3	4.53
尽	jin4	3.51
劲	jin4	3.84
近	jin4	4.67
进	jin4	4.9
浸	jin4	5.28
禁	jin4	3.9
